SCORE:,total_score,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,description
SCORE:,1918.001,-5.711,-1605.2720000000002,360.408,-451.849,3.3089999999999997,53.99,2838.067,912.192,-47.36600000000001,-123.21700000000001,-36.074,-32.952,-34.635,22.016,-58.051,7.079,18.877,97.055,0.136,aflibercept_input_0001_0001
SCORE:,845.4960000000001,-5.711,-1601.9820000000002,365.723,-444.342,3.3139999999999996,53.815,1670.49,906.928,-46.042,-122.31,-36.074,-34.512,-32.542,25.78,-53.025,75.155,23.642,97.055,0.136,aflibercept_input_0001_0002
SCORE:,1389.727,-5.715,-1605.259,363.66,-448.644,3.365,54.937,2320.172,905.556,-46.933,-121.762,-36.676,-32.928000000000004,-35.19,21.36,-63.461000000000006,1.474,18.543,97.055,0.171,aflibercept_input_0002_0001
SCORE:,804.081,-5.946000000000001,-1581.639,364.98199999999997,-469.342,3.406,55.126000000000005,1680.52,901.446,-51.971000000000004,-124.426,-39.222,-32.294000000000004,-33.909,23.136999999999997,-51.743,46.9,21.843000000000004,97.055,0.161,aflibercept_input_0003_0003
SCORE:,839.137,-5.715,-1587.076,369.037,-453.293,3.293,54.248999999999995,1760.48,898.2130000000001,-43.843,-121.762,-36.676,-35.141,-37.399,22.511,-60.93600000000001,1.673,14.294,97.055,0.171,aflibercept_input_0002_0003
SCORE:,97.693,-5.715,-1586.396,369.23199999999997,-447.413,3.32,54.602,1008.191,891.7610000000001,-46.653,-121.762,-38.797,-34.365,-36.836999999999996,23.910999999999998,-56.983999999999995,1.871,22.5,97.055,0.171,aflibercept_input_0002_0002
SCORE:,1521.714,-5.79,-1599.6570000000002,353.76199999999994,-452.284,3.2880000000000003,53.763000000000005,2478.62,892.3910000000001,-51.144,-123.189,-38.591,-35.25,-34.68,22.63,-59.292,1.5419999999999998,18.230999999999998,97.055,0.309,aflibercept_input_0004_0002
SCORE:,3605.143,-5.79,-1618.858,361.31699999999995,-448.48,3.455,54.00899999999999,4533.063,912.8710000000001,-49.5,-124.177,-37.065,-33.745,-35.247,27.566999999999997,-54.532,4.04,18.851,97.055,0.309,aflibercept_input_0004_0001
SCORE:,839.1189999999999,-5.711,-1609.517,360.751,-437.207,3.284,54.006,1741.7939999999999,911.69,-46.48,-122.85600000000001,-37.341,-31.668000000000003,-33.927,28.869,-60.76,2.089,24.913,97.055,0.136,aflibercept_input_0001_0003
SCORE:,2064.891,-5.946000000000001,-1603.237,367.26300000000003,-437.43800000000005,3.343,54.681999999999995,2937.5290000000005,924.057,-49.163999999999994,-122.113,-42.504,-33.374,-30.141,21.276999999999997,-54.982,15.870999999999999,22.554000000000002,97.055,0.161,aflibercept_input_0003_0001
SCORE:,581.506,-5.79,-1589.361,366.269,-453.967,3.4360000000000004,52.375,1524.871,898.5930000000001,-50.61600000000001,-123.536,-36.564,-37.284,-35.336999999999996,20.293,-60.535,1.459,9.834,97.055,0.309,aflibercept_input_0004_0003
SCORE:,1954.66,-5.946000000000001,-1605.646,370.155,-450.42699999999996,3.3,54.818000000000005,2887.2709999999997,909.993,-47.776,-123.24,-37.909,-32.234,-36.489000000000004,21.006999999999998,-62.141000000000005,1.902,10.808,97.055,0.161,aflibercept_input_0003_0002
SCORE:,469.76300000000003,-5.562,-1596.243,360.92699999999996,-446.666,3.339,53.44,1331.703,910.535,-48.628,-122.189,-38.403,-32.753,-32.674,21.605999999999998,-52.942,39.56,27.318,97.055,0.341,aflibercept_input_0005_0001
SCORE:,1069.275,-5.864,-1606.0079999999998,349.341,-436.51199999999994,3.295,54.056999999999995,1988.585,920.3889999999999,-49.339,-123.64,-39.609,-31.061,-32.273,23.449,-60.698,1.745,16.053,97.055,0.31,aflibercept_input_0006_0003
SCORE:,1884.251,-5.562,-1570.721,369.45599999999996,-449.222,3.39,53.743,2777.002,890.19,-50.13,-122.189,-37.416,-33.689,-36.22,22.669,-54.19,8.732999999999999,21.011,97.055,0.341,aflibercept_input_0005_0002
SCORE:,1706.382,-5.715,-1607.567,376.334,-445.486,3.341,55.082,2614.746,907.2589999999999,-44.494,-121.762,-36.995,-34.725,-39.233000000000004,24.51,-62.202,1.9280000000000002,24.135,97.055,0.171,aflibercept_input_0006_0002
SCORE:,1592.5379999999998,-5.79,-1621.741,359.18300000000005,-452.82599999999996,3.31,53.571000000000005,2528.98,914.873,-49.422,-124.58200000000001,-37.458,-33.554,-32.824,22.349,-57.107,13.5,14.710999999999999,97.055,0.309,aflibercept_input_0007_0001
SCORE:,995.405,-5.946000000000001,-1592.231,364.95300000000003,-448.36,3.44,55.05,1877.67,912.804,-47.975,-123.663,-36.713,-31.872,-34.395,20.365,-60.244,25.56,19.747,97.055,0.161,aflibercept_input_0006_0001
SCORE:,1102.654,-5.562,-1591.539,366.281,-443.504,3.405,54.525,2027.586,903.3960000000001,-52.14,-122.189,-36.549,-31.362,-34.596,20.699,-62.808,1.629,7.985,97.055,0.341,aflibercept_input_0005_0003
SCORE:,906.422,-5.772,-1609.338,369.288,-466.199,3.32,54.663999999999994,1843.0710000000001,923.0369999999999,-51.11,-123.124,-41.623000000000005,-33.539,-32.881,25.755,-59.67,1.705,11.460999999999999,97.055,0.322,aflibercept_input_0007_0002
SCORE:,1722.8020000000001,-5.492000000000001,-1575.5870000000002,359.119,-443.592,3.31,53.431000000000004,2644.954,887.7189999999999,-50.553000000000004,-124.15899999999999,-36.878,-34.235,-37.263000000000005,23.253,-57.81,2.189,16.993,97.055,0.34600000000000003,aflibercept_input_0008_0003
SCORE:,1758.5610000000001,-5.492000000000001,-1599.275,371.80400000000003,-456.48699999999997,3.388,53.781000000000006,2580.624,908.655,-53.13399999999999,-123.928,-37.485,-33.429,-32.961,26.999000000000002,-50.375,79.43,29.046,97.055,0.34600000000000003,aflibercept_input_0008_0002
SCORE:,1450.274,-5.711,-1601.81,373.80800000000005,-445.44800000000004,3.467,54.097,2333.935,922.3689999999999,-47.168,-122.27,-37.05,-33.813,-33.56,21.453000000000003,-58.201,2.006,26.979,97.055,0.136,aflibercept_input_0007_0003
SCORE:,2458.815,-5.946000000000001,-1611.25,367.082,-439.684,3.373,53.964,3357.522,905.8560000000001,-47.048,-122.113,-38.1,-32.625,-38.353,24.816999999999997,-49.838,1.4769999999999999,32.464,97.055,0.161,aflibercept_input_0008_0001
SCORE:,555.509,-5.562,-1596.371,358.277,-459.653,3.3280000000000003,53.788999999999994,1503.648,906.554,-51.34,-124.463,-36.368,-32.367,-34.412,22.359,-61.566,1.8530000000000002,10.405,97.055,0.341,aflibercept_input_0009_0001
