SCORE:,total_score,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,yhh_planarity,description
SCORE:,-805.4689999999999,-5.555,-1572.233,355.213,-485.849,3.2710000000000004,55.236000000000004,193.338,884.7710000000001,-65.768,-126.35700000000001,-39.373000000000005,-35.181,-34.635,26.381999999999998,-63.839,1.453,6.303,97.055,0.301,aflibercept_input_0014_0001_0002
SCORE:,-790.895,-5.662999999999999,-1584.695,359.75,-477.756,3.3080000000000003,54.903,191.727,895.3689999999999,-61.833999999999996,-121.78,-41.983000000000004,-35.606,-35.351,25.021,-64.235,1.7890000000000001,8.633,97.055,0.455,aflibercept_input_0002_0002_0002
SCORE:,-794.857,-5.744,-1579.859,356.714,-474.841,3.282,54.708999999999996,190.17,892.694,-61.306999999999995,-123.31299999999999,-42.001999999999995,-36.105,-37.205,22.268,-64.175,1.625,10.966,97.055,0.212,aflibercept_input_0002_0002_0001
SCORE:,-790.38,-5.662000000000001,-1576.4229999999998,353.275,-474.56,3.3,54.778,189.49900000000002,891.706,-57.718,-123.37799999999999,-37.016,-36.418,-39.994,23.365,-63.965,1.54,10.06,97.055,0.17600000000000002,aflibercept_input_0002_0002_0006
SCORE:,-788.079,-5.553999999999999,-1578.082,356.855,-475.772,3.2969999999999997,54.588,192.702,889.8989999999999,-55.841,-122.448,-43.443999999999996,-35.79,-35.4,23.006,-64.735,1.767,9.558,97.055,0.259,aflibercept_input_0002_0002_0004
SCORE:,-796.704,-5.657,-1578.0739999999998,355.519,-479.535,3.279,54.985,189.912,894.5319999999999,-63.61,-123.086,-39.400999999999996,-36.349000000000004,-36.695,22.226999999999997,-64.46300000000001,1.587,10.878,97.055,0.195,aflibercept_input_0002_0002_0009
SCORE:,-809.7589999999999,-5.439,-1574.031,357.167,-489.782,3.318,54.773999999999994,195.451,886.368,-63.048,-126.684,-41.288000000000004,-35.06,-35.521,23.287,-64.58,1.4380000000000002,6.479,97.055,0.33799999999999997,aflibercept_input_0014_0001_0001
SCORE:,-794.862,-5.667999999999999,-1574.2910000000002,351.255,-474.54400000000004,3.287,54.38,188.86700000000002,893.304,-61.54600000000001,-122.374,-40.195,-36.369,-37.171,22.272,-64.988,1.653,9.876,97.055,0.33799999999999997,aflibercept_input_0002_0002_0010
SCORE:,-799.05,-5.662000000000001,-1588.386,355.33099999999996,-477.19800000000004,3.2889999999999997,54.24,189.34900000000002,902.058,-59.458,-123.568,-42.872,-36.787,-36.701,22.941999999999997,-64.92399999999999,1.619,10.385,97.055,0.239,aflibercept_input_0002_0002_0008
SCORE:,-792.96,-5.648,-1586.257,357.381,-476.62199999999996,3.279,55.004,192.081,895.7130000000001,-61.21,-122.76100000000001,-41.625,-36.134,-37.779,25.695,-63.638999999999996,1.6380000000000001,10.511,97.055,0.359,aflibercept_input_0002_0002_0003
